Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
5/13/12,THE PLAYERS Championship,T25,71,71,70,73,--,285,-3,4,42
05/20/12,HP Byron Nelson Championship,T7,70,69,69,66,--,274,-6,4,88
06/03/12,the Memorial Tournament presented by Nationwide Insurance,W/D,79,--,--,--,--,79,7,6,--
6/17/12,U.S. Open,T65,76,71,71,78,--,296,16,8,6
7/8/12,The Greenbrier Classic,CUT,71,71,--,--,--,142,2,9,--
07/22/12,The Open Championship,CUT,73,78,--,--,--,151,11,11,--
8/5/12,World Golf Championships-Bridgestone Invitational,T43,71,69,73,71,--,284,4,13,28
08/12/12,PGA Championship,T36,73,71,73,74,--,291,3,14,33
08/26/12,The Barclays,T38,68,74,67,76,--,285,1,14,148
09/03/12,Deutsche Bank Championship,T4,68,68,68,66,--,270,-14,14,650
9/9/12,BMW Championship,T2,69,67,64,70,--,270,-18,14,"1,250"
09/23/12,TOUR Championship by Coca-Cola,T15,69,71,72,69,--,281,1,14,273
9/30/12,Ryder Cup *,--,--,--,--,--,--,--,--,--,--
11/4/12,World Golf Championships-HSBC Champions *,T2,66,69,66,68,--,269,-19,--,--
1/30/11,Farmers Insurance Open,2,67,69,68,69,--,273,-15,6,300
2/6/11,Waste Management Phoenix Open,T29,67,65,71,71,--,274,-10,8,39
2/13/11,AT&T Pebble Beach National Pro-Am,T9,71,67,69,71,--,278,-8,8,73
2/20/11,Northern Trust Open,T35,71,70,74,68,--,283,-1,10,32
02/27/11,World Golf Championships-Accenture Match Play Championship,T17,--,--,--,--,--,--,--,12,47
3/13/11,World Golf Championships-Cadillac Championship,T55,73,71,72,76,--,292,4,16,15
3/27/11,Arnold Palmer Invitational presented by MasterCard,T24,70,75,69,73,--,287,-1,19,45
04/03/11,Shell Houston Open,1,70,70,63,65,--,268,-20,2,500
4/10/11,Masters Tournament,T27,70,72,71,74,--,287,-1,2,41
5/8/11,Wells Fargo Championship,T9,69,66,74,69,--,278,-10,4,66
05/15/11,THE PLAYERS Championship,T33,71,71,69,72,--,283,-5,4,36
6/5/11,the Memorial Tournament presented by Nationwide Insurance,T13,72,70,72,67,--,281,-7,5,56
6/19/11,U.S. Open,T54,74,69,77,71,--,291,7,5,15
07/17/11,The Open Championship,T2,70,69,71,68,--,278,-2,4,270
7/31/11,The Greenbrier Classic,CUT,70,73,--,--,--,143,3,4,--
8/7/11,World Golf Championships-Bridgestone Invitational,T48,67,73,71,72,--,283,3,5,21
8/14/11,PGA Championship,T19,71,70,69,70,--,280,E,5,49
8/28/11,The Barclays,T43,67,70,68,--,--,205,-8,6,120
9/5/11,Deutsche Bank Championship,T10,70,73,63,69,--,275,-9,6,319
9/18/11,BMW Championship,T56,72,73,71,75,--,291,7,6,70
09/25/11,TOUR Championship by Coca-Cola,10,68,70,67,71,--,276,-4,6,375
11/20/11,The Presidents Cup *,1,--,--,--,--,--,--,--,--,--
1/31/10,Farmers Insurance Open,19,70,67,70,73,--,280,-8,83,52
2/7/10,Northern Trust Open,T45,72,66,71,73,--,282,-2,75,26
2/14/10,AT&T Pebble Beach National Pro-Am,T8,68,67,69,71,--,275,-11,35,83
2/28/10,Waste Management Phoenix Open,T24,68,68,72,67,--,275,-9,43,42
3/14/10,World Golf Championships-CA Championship,T14,71,69,72,68,--,280,-8,34,61
03/28/10,Arnold Palmer Invitational presented by MasterCard,T30,71,67,75,77,--,290,2,41,37
04/04/10,Shell Houston Open,T35,69,76,70,71,--,286,-2,38,34
4/11/10,Masters Tournament,1,67,71,67,67,--,272,-16,4,600
05/02/10,Quail Hollow Championship,2,70,68,71,68,--,277,-11,3,300
5/9/10,THE PLAYERS Championship,T17,70,71,66,74,--,281,-7,3,53
05/30/10,Crowne Plaza Invitational at Colonial,CUT,71,73,--,--,--,144,4,3,--
6/6/10,the Memorial Tournament presented by Nationwide Insurance,T5,67,71,70,69,--,277,-11,3,100
